,segment length (s),% of data inside bin,software
0,80,55.639106391933936,TRex
1,160,13.097223660602381,TRex
2,320,11.241105584187922,TRex
3,640,13.80179149374879,TRex
4,1515,4.230855710794454,TRex
5,80,72.71436253025534,idtracker.ai
6,160,12.129792377792468,idtracker.ai
7,320,8.238089699257158,idtracker.ai
8,640,2.087357022689838,idtracker.ai
